key,freq,freq_pct
Gabi,23,0.07524208322428684
くん,23,0.07524208322428684
名,23,0.07524208322428684
ブース,23,0.07524208322428684
JSB,22,0.07197068830149175
自分,22,0.07197068830149175
NAOTOさん,22,0.07197068830149175
b,22,0.07197068830149175
妄,22,0.07197068830149175
コマ,22,0.07197068830149175
birthday,22,0.07197068830149175
ファルコ,22,0.07197068830149175
最終,22,0.07197068830149175
official,22,0.07197068830149175
.c,22,0.07197068830149175
キャラクター,21,0.06869929337869668
.,21,0.06869929337869668
瀬戸,21,0.06869929337869668
英里奈）,21,0.06869929337869668
不,21,0.06869929337869668
募集,20,0.06542789845590159
世界,20,0.06542789845590159
笑,20,0.06542789845590159
NPSNKdRicfS,20,0.06542789845590159
enter,20,0.06542789845590159
諫山,20,0.06542789845590159
