text,created_at
"RT @Omiya_Nie: 天皇賞（春）×進撃の巨人がコラボ　調査兵団が阪神競馬場へ　渋谷すばる新曲書き下ろしSP動画も | ORICON NEWS https://t.co/qdboKGYNIK

&gt;「進撃の天皇賞（春）」は、海を越え、エレンたち調査兵団がたどり着いたのは阪…",Mon Apr 19 00:25:54 +0000 2021
RT @uma_Reiner: 天皇賞（春）×進撃の巨人がコラボ　調査兵団が阪神競馬場へ　渋谷すばる新曲書き下ろしSP動画も | ORICON NEWS https://t.co/EZZhQHAjII https://t.co/2ndvu8bZhh,Mon Apr 19 00:27:59 +0000 2021
"RT @shingeki__kun: 日本のアニメの歴史を変えたスゴいアニメ

アクション作画

｢進撃の巨人｣  伝説の1カット18秒 https://t.co/ikjJq9D31l",Wed Apr 14 06:55:08 +0000 2021
"RT @superOCreeta931: その巨人はいついかなる時代においても
自由を求めて進み続けた
自由のために戦った
名は

進撃の巨人 https://t.co/YdTc5zBxKW",Sat Apr 10 07:57:26 +0000 2021
"RT @livedoornews: 【容疑認める】東京ドーム爆破予告容疑、SBファンの男逮捕
https://t.co/Y71BmoyVtI

男はソフトバンクファンで、「一番盛り上がる日本シリーズで巨人が簡単に負けてしまうのがつまらなかった」「怒りに任せて送ってしまった」など…",Thu Apr 15 16:58:16 +0000 2021
"RT @sparta_cc: 『ボクラノキセキ』は『進撃の巨人』にも近い構成の漫画なので進撃のファンにもオススメしたい。本作、『ワールドトリガー』『進撃の巨人』『鬼滅の刃』あたりの超有名作品とも伍して引かないくらいに秀逸な長期連載漫画ですよ。そして毎回今が一番面白い。

htt…",Sat Apr 10 07:39:08 +0000 2021
RT @uma_Reiner: 天皇賞（春）×進撃の巨人がコラボ　調査兵団が阪神競馬場へ　渋谷すばる新曲書き下ろしSP動画も | ORICON NEWS https://t.co/EZZhQHAjII https://t.co/2ndvu8bZhh,Sun Apr 18 23:46:40 +0000 2021
"RT @shingeki__kun: 日本のアニメの歴史を変えたスゴいアニメ

アクション作画

｢進撃の巨人｣  伝説の1カット18秒 https://t.co/ikjJq9D31l",Wed Apr 14 13:11:06 +0000 2021
"RT @shingeki__kun: 日本のアニメの歴史を変えたスゴいアニメ

アクション作画

｢進撃の巨人｣  伝説の1カット18秒 https://t.co/ikjJq9D31l",Wed Apr 14 13:15:05 +0000 2021
"RT @Omiya_Nie: 天皇賞（春）×進撃の巨人がコラボ　調査兵団が阪神競馬場へ　渋谷すばる新曲書き下ろしSP動画も | ORICON NEWS https://t.co/qdboKGYNIK

&gt;「進撃の天皇賞（春）」は、海を越え、エレンたち調査兵団がたどり着いたのは阪…",Sun Apr 18 23:19:02 +0000 2021
"RT @shingeki__kun: 日本のアニメの歴史を変えたスゴいアニメ

アクション作画

｢進撃の巨人｣  伝説の1カット18秒 https://t.co/ikjJq9D31l",Tue Apr 13 18:34:48 +0000 2021
"陽性だったのね😱😱

ホンマにコロナ😤😤😤

次は巨人vs阪神やから、阪神ファンの1部は喜んでるやろな😤😤

ヤクルトの時も1部の阪神ファンが酷いこと言うてたからな😭😭😭

巨人のウィーラー、若林もPCR検査で陽性　計4選手に(毎… https://t.co/o2Ty3kFT94",Sun Apr 04 09:40:05 +0000 2021
